name,location,primary_type,sub_type,ownership_type,description,lat_long,addr_street,addr_city,addr_zip
Rush University Medical Center,humboldt-park,Hospital,,Other Not For Profit (specify below),"Rush University is home to one of the first medical colleges in the Midwest and one of the nation's top-ranked nursing colleges, as well as graduate programs in allied health, health systems management and biomedical research. The Medical Center also offers many highly selective residency and fellowship programs in medical and surgical specialties and subspecialties. Rush's unique practitioner-teacher model for health sciences education and research gives students the opportunity to learn from world-renowned instructors who practice what they teach.","41.8750991,-87.6680372",1653 West Congress Parkway,Chicago,60612
Presence Saint Mary Of Nazareth Hospital,humboldt-park,Hospital,General Hospital,Church-Related,"Presence Saints Mary and Elizabeth Medical Center is an award-winning medical center, which has two campus locations on Chicago's near northwest side. For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doors","41.9041405,-87.6825333",2233 West Divison Street,Chicago,60622
Presence St. Elizabeth's Hospital,humboldt-park,Hospital,General Hospital,Church-Related,"Elizabeth Medical Center is an award-winning medical center on Chicago's near northwest side.For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doorsSaint Elizabeth Campus provides patient care in select specialties, such as outpatient surgery and behavioral health","41.9074975,-87.6858571",1431 North Claremont,Chicago,60622
University of Illinois Medical Center @ Chicago,humboldt-park,Hospital,General Hospital,Other Not For Profit (specify below),"University of Illinois Hospital & Health Sciences System is made up of several facilities, all of which give you access to different levels of care. These include a 495-bed hospital, outpatient clinic, immediate care clinic, and 12 Mile Square Health Centers including locations in Back of the Yards, Cicero, Englewood, Near West, and South Shore. As a leader in patient care, research and education, UI Health is committed to making positive and lasting differences in health science and in people's lives.","41.8692277,-87.6704874",1740 West Taylor Avenue,Chicago,60612
Provident Hospital of Cook County,hyde-park,Hospital,General Hospital,County,"Provident Hospital of Cook County is responsible for providing a wide array of healthcare services to the residents of Cook County, particularly those who reside in the Grand Boulevard neighborhood and on the South Side of Chicago.It meets community healthcare needs including primary, same-day surgery, family practice, and critical care services.Deeply committed to prevention, Provident Hospital staff and volunteers work with community residents to promote health and wellness through health fairs, a speaker’s bureau, support groups, health wellness groups for teens, men and seniors and educational programs (diabetes, asthma, smoking cessation, heart disease and others).","41.8021853,-87.61399",500 East 51st Street,Chicago,60615
University Of Chicago Medical Center,hyde-park,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"The University of Chicago Medical Center, also known under the umbrella of University of Chicago Medicine, is an American academic medical center in Hyde Park on the of South Side of Chicago, established in 1899","41.7888352,-87.6048658",5841 South Maryland,Chicago,60637
Kindred Chicago Central Hospital,irving-park,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Chicago Central Hospital is a 102-bed transitional care hospital located on Chicago's northwest side near the I-90/94 Kennedy Expressway. Kindred Chicago Central provides intensive long-term acute care to medically complex patients and is certified by Medicare, accredited by The Joint Commission and licensed by the State of Illinois.","41.940239,-87.72831",4058 West Melrose Street,Chicago,60641
Kindred Hospital  Chicago North,irving-park,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Hospital Chicago - North is a 164-bed transitional care hospital that provides intensive long-term acute care to medically complex patients. It is accredited by The Joint Commission and licensed by the State of Illinois. Kindred Hospitals serve as the bridge for patients who are medically complex and require acute care, but are unable to recover completely in the traditional, short-term acute care hospital setting. It is our goal to help patients grow stronger and more stable before they are discharged home or to a lower level of care. We use a multidisciplinary team approach to care that helps our patients return to the highest quality of life possible.","41.961555,-87.693245",2544 West Montrose Avenue,Chicago,60618
Swedish Covenant Hospital,irving-park,Hospital,General Hospital,Church-Related,"You may have noticed that something feels different at the corner of Foster and California. Over the past few years, we’ve seen our community grow, and we’ve worked hard to evolve right alongside you. We’ve invested in new technologies, such as breast tomosynthesis (3-D mammography) and advanced heart imaging technology, to ensure you have access to critical services and treatments that result in the best possible health outcomes. We’ve grown our medical staff and created affiliations with other health care organizations in the city, like our cancer care affiliation with Rush University Medical Center.We’re still one of the few independent, nonprofit teaching hospitals in the area, and we still provide you with medical services that range from treatment and care for new families to physical therapy. And yes, we remain firmly committed to the health and vibrancy of our community: With fifty percent of our more than 2,500 employees living within five miles of the hospital, we’re a part of you as much as you’re a part of us.","41.975014,-87.699989",5145 North California Avenue,Chicago,60625
Presence Resurrection Medical Center,jefferson-park,Hospital,General Hospital,Church-Related,"Presence Resurrection Medical Center is an award-winning medical center and full service teaching hospital. Presence Resurrection Medical Center is a certified Primary Stroke Center, an accredited Chest Pain Center, and offers a wide range of advanced outpatient and inpatient services, including an open heart surgery program, a CARF-accredited rehabilitation center, and an accredited cancer center","41.987434,-87.814407",7435 West Talcott Avenue,Chicago,60631
Provident Hospital of Cook County,kenwood,Hospital,General Hospital,County,"Provident Hospital of Cook County is responsible for providing a wide array of healthcare services to the residents of Cook County, particularly those who reside in the Grand Boulevard neighborhood and on the South Side of Chicago.It meets community healthcare needs including primary, same-day surgery, family practice, and critical care services.Deeply committed to prevention, Provident Hospital staff and volunteers work with community residents to promote health and wellness through health fairs, a speaker’s bureau, support groups, health wellness groups for teens, men and seniors and educational programs (diabetes, asthma, smoking cessation, heart disease and others).","41.8021853,-87.61399",500 East 51st Street,Chicago,60615
Aurora Chicago Lakeshore Hospital,lake-view,Hospital,Psychiatric Hospital,Limited Liability Company,"Chicago Lakeshore Hospital provides treatment services to those struggling with alcoholism, chemical dependency and drug use, as well as including their families as an integral part of the multi-disciplinary team. Treatment services include screening, orientation, assessment, detox services, treatment planning, crisis intervention, consultation, inpatient and outpatient services, education, rehab, referral and individual and group counseling. Chicago Lakeshore Hospital specializes in the treatment of dual diagnosis - a combination of alcoholism/drug use/chemical dependency and a behavioral health issue or a mental health disorder, treatment of children, adolescents and adults, as well as comprehensive treatment for the LGBTQ community","41.9703718,-87.6499477",4840 North Marine Drive,Chicago,60640
Methodist Hospital of Chicago,lake-view,Hospital,General Hospital,Church-Related,"Welcome to Methodist Hospital of Chicago, a medical-surgical facility offering on-site physician specialists in cardiology, neurology, geriatric oncology, ophthalmology, general surgery,orthopedics, behavioral medicine, dentistry and podiatry. Also offering internal medicine and family practice, the hospital has 168 licensed beds located amid the Andersonville/Ravenswood neighborhoods of Chicago.","41.9727885,-87.6710533",5025 North Paulina Street,Chicago,60640
Louis A. Weiss Memorial Hospital,lake-view,Hospital,General Hospital,For Profit Corporation,"Weiss Memorial Hospital is a Joint Commission-accredited, 236-bed healthcare facility providing a full range of medical and surgical services to meet the needs of our diverse patient base. Patients receive leading-edge diagnostic and treatment options without leaving the community setting of Weiss.","41.967236,-87.64959",4646 North Marine Drive,Chicago,60640
Thorek Memorial Hospital,lake-view,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Thorek Memorial Hospital is a 218-bed, not-for-profit, acute care facility. We have been providing quality, progressive health care to Chicagoans since 1911, when Dr. Max Thorek founded the American Hospital - the forerunner to Thorek Memorial.","41.9545528,-87.6522249",850 West Irving Park Road,Chicago,60613
Advocate Illinois Masonic Medical Center,lake-view,Hospital,General Hospital,Church-Related,"Advocate Illinois Masonic Medical Center is a 408-bed hospital in Chicago offering comprehensive inpatient services, including medical, surgical, obstetrics, and pediatric inpatient care, as well as multiple sites for outpatient care. We are home to a Level I Trauma Center and Level III Neonatal Intensive Care Unit, the highest designations awared by the state of Illinois.","41.9359703,-87.6741714",836 West Wellington,Chicago,60657
Presence Saint Joseph Hospital Chicago,lake-view,Hospital,General Hospital,Church-Related,"Presence Saint Joseph Hospital on Chicago’s lakefront is an award-winning hospital, combining the convenience and caring experience of a community hospital with the technology and expertise of an academic medical center. We offer a full continuum of care for you and your entire family — from primary to specialty care. Our doctors are compassionate and dedicated — conducting research and teaching a new generation of healthcare providers about clinical excellence. Our healthcare team focuses on delivering outstanding patient- and family-centered care.","41.9348795,-87.6367874",2900 North Lake Shore Drive,Chicago,60657
Kindred Hospital  Chicago North,lincoln-park,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Hospital Chicago - North is a 164-bed transitional care hospital that provides intensive long-term acute care to medically complex patients. It is accredited by The Joint Commission and licensed by the State of Illinois. Kindred Hospitals serve as the bridge for patients who are medically complex and require acute care, but are unable to recover completely in the traditional, short-term acute care hospital setting. It is our goal to help patients grow stronger and more stable before they are discharged home or to a lower level of care. We use a multidisciplinary team approach to care that helps our patients return to the highest quality of life possible.","41.961555,-87.693245",2544 West Montrose Avenue,Chicago,60618
Norwegian American Hospital,lincoln-park,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Norwegian American Hospital is a 200-bed, acute care facility, offering a variety of health care programs and services including: inpatient and same day surgery, outpatient pharmacy, radiology department, All Kids health care program, cardiology department, corporate health program, intensive care unit, telemetry unit, pediatrics unit, emergency department, physician specialty center, and a comprehensive array of women's health care with an incorporated midwife program.","41.900784,-87.699646",1044 North Francisco Avenue,Chicago,60622
Advocate Illinois Masonic Medical Center,lincoln-park,Hospital,General Hospital,Church-Related,"Advocate Illinois Masonic Medical Center is a 408-bed hospital in Chicago offering comprehensive inpatient services, including medical, surgical, obstetrics, and pediatric inpatient care, as well as multiple sites for outpatient care. We are home to a Level I Trauma Center and Level III Neonatal Intensive Care Unit, the highest designations awared by the state of Illinois.","41.9359703,-87.6741714",836 West Wellington,Chicago,60657
Presence Saint Mary Of Nazareth Hospital,lincoln-park,Hospital,General Hospital,Church-Related,"Presence Saints Mary and Elizabeth Medical Center is an award-winning medical center, which has two campus locations on Chicago's near northwest side. For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doors","41.9041405,-87.6825333",2233 West Divison Street,Chicago,60622
Presence Saint Joseph Hospital Chicago,lincoln-park,Hospital,General Hospital,Church-Related,"Presence Saint Joseph Hospital on Chicago’s lakefront is an award-winning hospital, combining the convenience and caring experience of a community hospital with the technology and expertise of an academic medical center. We offer a full continuum of care for you and your entire family — from primary to specialty care. Our doctors are compassionate and dedicated — conducting research and teaching a new generation of healthcare providers about clinical excellence. Our healthcare team focuses on delivering outstanding patient- and family-centered care.","41.9348795,-87.6367874",2900 North Lake Shore Drive,Chicago,60657
Presence St. Elizabeth's Hospital,lincoln-park,Hospital,General Hospital,Church-Related,"Elizabeth Medical Center is an award-winning medical center on Chicago's near northwest side.For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doorsSaint Elizabeth Campus provides patient care in select specialties, such as outpatient surgery and behavioral health","41.9074975,-87.6858571",1431 North Claremont,Chicago,60622
Aurora Chicago Lakeshore Hospital,lincoln-square,Hospital,Psychiatric Hospital,Limited Liability Company,"Chicago Lakeshore Hospital provides treatment services to those struggling with alcoholism, chemical dependency and drug use, as well as including their families as an integral part of the multi-disciplinary team. Treatment services include screening, orientation, assessment, detox services, treatment planning, crisis intervention, consultation, inpatient and outpatient services, education, rehab, referral and individual and group counseling. Chicago Lakeshore Hospital specializes in the treatment of dual diagnosis - a combination of alcoholism/drug use/chemical dependency and a behavioral health issue or a mental health disorder, treatment of children, adolescents and adults, as well as comprehensive treatment for the LGBTQ community","41.9703718,-87.6499477",4840 North Marine Drive,Chicago,60640
Kindred Hospital  Chicago North,lincoln-square,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Hospital Chicago - North is a 164-bed transitional care hospital that provides intensive long-term acute care to medically complex patients. It is accredited by The Joint Commission and licensed by the State of Illinois. Kindred Hospitals serve as the bridge for patients who are medically complex and require acute care, but are unable to recover completely in the traditional, short-term acute care hospital setting. It is our goal to help patients grow stronger and more stable before they are discharged home or to a lower level of care. We use a multidisciplinary team approach to care that helps our patients return to the highest quality of life possible.","41.961555,-87.693245",2544 West Montrose Avenue,Chicago,60618
Methodist Hospital of Chicago,lincoln-square,Hospital,General Hospital,Church-Related,"Welcome to Methodist Hospital of Chicago, a medical-surgical facility offering on-site physician specialists in cardiology, neurology, geriatric oncology, ophthalmology, general surgery,orthopedics, behavioral medicine, dentistry and podiatry. Also offering internal medicine and family practice, the hospital has 168 licensed beds located amid the Andersonville/Ravenswood neighborhoods of Chicago.","41.9727885,-87.6710533",5025 North Paulina Street,Chicago,60640
Louis A. Weiss Memorial Hospital,lincoln-square,Hospital,General Hospital,For Profit Corporation,"Weiss Memorial Hospital is a Joint Commission-accredited, 236-bed healthcare facility providing a full range of medical and surgical services to meet the needs of our diverse patient base. Patients receive leading-edge diagnostic and treatment options without leaving the community setting of Weiss.","41.967236,-87.64959",4646 North Marine Drive,Chicago,60640
Thorek Memorial Hospital,lincoln-square,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Thorek Memorial Hospital is a 218-bed, not-for-profit, acute care facility. We have been providing quality, progressive health care to Chicagoans since 1911, when Dr. Max Thorek founded the American Hospital - the forerunner to Thorek Memorial.","41.9545528,-87.6522249",850 West Irving Park Road,Chicago,60613
Swedish Covenant Hospital,lincoln-square,Hospital,General Hospital,Church-Related,"You may have noticed that something feels different at the corner of Foster and California. Over the past few years, we’ve seen our community grow, and we’ve worked hard to evolve right alongside you. We’ve invested in new technologies, such as breast tomosynthesis (3-D mammography) and advanced heart imaging technology, to ensure you have access to critical services and treatments that result in the best possible health outcomes. We’ve grown our medical staff and created affiliations with other health care organizations in the city, like our cancer care affiliation with Rush University Medical Center.We’re still one of the few independent, nonprofit teaching hospitals in the area, and we still provide you with medical services that range from treatment and care for new families to physical therapy. And yes, we remain firmly committed to the health and vibrancy of our community: With fifty percent of our more than 2,500 employees living within five miles of the hospital, we’re a part of you as much as you’re a part of us.","41.975014,-87.699989",5145 North California Avenue,Chicago,60625
Kindred Chicago Central Hospital,logan-square,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Chicago Central Hospital is a 102-bed transitional care hospital located on Chicago's northwest side near the I-90/94 Kennedy Expressway. Kindred Chicago Central provides intensive long-term acute care to medically complex patients and is certified by Medicare, accredited by The Joint Commission and licensed by the State of Illinois.","41.940239,-87.72831",4058 West Melrose Street,Chicago,60641
Kindred Hospital  Chicago North,logan-square,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Hospital Chicago - North is a 164-bed transitional care hospital that provides intensive long-term acute care to medically complex patients. It is accredited by The Joint Commission and licensed by the State of Illinois. Kindred Hospitals serve as the bridge for patients who are medically complex and require acute care, but are unable to recover completely in the traditional, short-term acute care hospital setting. It is our goal to help patients grow stronger and more stable before they are discharged home or to a lower level of care. We use a multidisciplinary team approach to care that helps our patients return to the highest quality of life possible.","41.961555,-87.693245",2544 West Montrose Avenue,Chicago,60618
Norwegian American Hospital,logan-square,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Norwegian American Hospital is a 200-bed, acute care facility, offering a variety of health care programs and services including: inpatient and same day surgery, outpatient pharmacy, radiology department, All Kids health care program, cardiology department, corporate health program, intensive care unit, telemetry unit, pediatrics unit, emergency department, physician specialty center, and a comprehensive array of women's health care with an incorporated midwife program.","41.900784,-87.699646",1044 North Francisco Avenue,Chicago,60622
Presence Saint Mary Of Nazareth Hospital,logan-square,Hospital,General Hospital,Church-Related,"Presence Saints Mary and Elizabeth Medical Center is an award-winning medical center, which has two campus locations on Chicago's near northwest side. For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doors","41.9041405,-87.6825333",2233 West Divison Street,Chicago,60622
Presence St. Elizabeth's Hospital,logan-square,Hospital,General Hospital,Church-Related,"Elizabeth Medical Center is an award-winning medical center on Chicago's near northwest side.For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doorsSaint Elizabeth Campus provides patient care in select specialties, such as outpatient surgery and behavioral health","41.9074975,-87.6858571",1431 North Claremont,Chicago,60622
Mercy Hospital & Medical Center,lower-west-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),,"41.8470646,-87.6235186",2525 South Michigan Avenue,Chicago,60616
Schwab Rehabilitation Center,lower-west-side,Hospital,Rehabilitation Hospital,Not for Profit Corporation (Not Church-Related),"Schwab Rehabilitation Hospital was the first accredited rehabilitation hospital in the Midwest—and today, we continue to redefine health care delivery for the lives of our patients. Last year, nearly three-quarters of our inpatients re-entered their communities from our newly expanded, comprehensive Chicago rehabilitation hospital, located just three miles from Chicago’s Loop. After returning home, our patients continue to benefit from outpatient care. Working with a wide range of partners, Schwab provides primary, acute, subacute and outpatient care to disabled people who live in the community.","41.8624645,-87.6957337",1401 South California Avenue,Chicago,60608
Mount Sinai Hospital Medical Center,lower-west-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Mount Sinai Hospital Chicago is a 319-bed teaching hospital that provides medical, surgical, behavioral health, therapeutic and diagnostic services to the greater Chicago area. Proving to be a national model for the delivery of urban health care, Mount Sinai Hospital ranks among the top 10 percent of hospitals nationwide in 75 percent of national hospital quality measures. Part of Sinai Health System Chicago, it features an Emergency Department that is a Level 1 Trauma Center, providing care to nearly 60,000 patients, and a Labor and Delivery unit that has welcomed more than 3,000 newborns—the second highest number in the city. Located in Chicago’s West Side neighborhood, Mount Sinai Hospital is also a major teaching hospital, training over 700 health care professionals through undergraduate, graduate, residency and fellowship programs. With a continued focus on the needs of our community, Mount Sinai Hospital Chicago provides consistently reliable and efficient medical care to individuals and families in the Chicago area.","41.8611382,-87.6928376",2750 W. 15th Street,Chicago,60608
Schwab Rehabilitation Center,mckinley-park,Hospital,Rehabilitation Hospital,Not for Profit Corporation (Not Church-Related),"Schwab Rehabilitation Hospital was the first accredited rehabilitation hospital in the Midwest—and today, we continue to redefine health care delivery for the lives of our patients. Last year, nearly three-quarters of our inpatients re-entered their communities from our newly expanded, comprehensive Chicago rehabilitation hospital, located just three miles from Chicago’s Loop. After returning home, our patients continue to benefit from outpatient care. Working with a wide range of partners, Schwab provides primary, acute, subacute and outpatient care to disabled people who live in the community.","41.8624645,-87.6957337",1401 South California Avenue,Chicago,60608
Mount Sinai Hospital Medical Center,mckinley-park,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Mount Sinai Hospital Chicago is a 319-bed teaching hospital that provides medical, surgical, behavioral health, therapeutic and diagnostic services to the greater Chicago area. Proving to be a national model for the delivery of urban health care, Mount Sinai Hospital ranks among the top 10 percent of hospitals nationwide in 75 percent of national hospital quality measures. Part of Sinai Health System Chicago, it features an Emergency Department that is a Level 1 Trauma Center, providing care to nearly 60,000 patients, and a Labor and Delivery unit that has welcomed more than 3,000 newborns—the second highest number in the city. Located in Chicago’s West Side neighborhood, Mount Sinai Hospital is also a major teaching hospital, training over 700 health care professionals through undergraduate, graduate, residency and fellowship programs. With a continued focus on the needs of our community, Mount Sinai Hospital Chicago provides consistently reliable and efficient medical care to individuals and families in the Chicago area.","41.8611382,-87.6928376",2750 W. 15th Street,Chicago,60608
Presence Our Lady of the Resurrection Medical Center,montclare,Hospital,General Hospital,Church-Related,"Our Lady of the Resurrection is an award-winning hospital that has been providing health care to residents of Chicago's northwest side since 1955. As the health care needs of this population evolve, Our Lady of the Resurrection Medical Center responds with compassionate medical and nursing care as well as advanced diagnostic and treatment services that promote patients' well-being. The hospital features a 269-licensed bed main building with a nearby professional office building, a convenient radiology center and an extensive outpatient services center.","41.945599,-87.768974",5645 West Addison Street,Chicago,60634
Shriners Hospitals for Children - Chicago,montclare,Hospital,Children's Speciality Care Hospital,Not for Profit Corporation (Not Church-Related),"Located near the historic Village of Oak Park, Shriners Hospitals for Children — Chicago is one of the busiest hospitals in our health system. Here we treat children with a host of orthopaedic and neuromusculoskeletal conditions, spinal cord injuries, as well as cleft lip and palate. Our inpatient and outpatient units are bright, cheerful and designed to put children at ease. From our world-class surgeons to our expert team of nurses, therapists and clinicians, everyone here is focused on the needs of the child and family.","41.9167786,-87.7946472",2211 North Oak Park,Chicago,60707
Norwegian American Hospital,near-north-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Norwegian American Hospital is a 200-bed, acute care facility, offering a variety of health care programs and services including: inpatient and same day surgery, outpatient pharmacy, radiology department, All Kids health care program, cardiology department, corporate health program, intensive care unit, telemetry unit, pediatrics unit, emergency department, physician specialty center, and a comprehensive array of women's health care with an incorporated midwife program.","41.900784,-87.699646",1044 North Francisco Avenue,Chicago,60622
Presence Saint Mary Of Nazareth Hospital,near-north-side,Hospital,General Hospital,Church-Related,"Presence Saints Mary and Elizabeth Medical Center is an award-winning medical center, which has two campus locations on Chicago's near northwest side. For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doors","41.9041405,-87.6825333",2233 West Divison Street,Chicago,60622
Presence St. Elizabeth's Hospital,near-north-side,Hospital,General Hospital,Church-Related,"Elizabeth Medical Center is an award-winning medical center on Chicago's near northwest side.For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doorsSaint Elizabeth Campus provides patient care in select specialties, such as outpatient surgery and behavioral health","41.9074975,-87.6858571",1431 North Claremont,Chicago,60622
Mercy Hospital & Medical Center,near-south-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),,"41.8470646,-87.6235186",2525 South Michigan Avenue,Chicago,60616
John H. Stroger Hospital of Cook County,near-west-side,Hospital,General Hospital,County,"John H. Stroger, Jr. Hospital of Cook County is a teaching hospital that provides primary, specialty and tertiary healthcare services. The hospital has a staff of more than 300 attending physicians along with more than 400 medical residents and fellows. The hospital serves as the hub for the Cook County Health & Hospitals System for delivery of specialty and sub-specialty care. More than 40% of the hospital’s space is dedicated to an outpatient Specialty Care Center. The Level 1 Trauma Center is one of the most respected in the nation. The hospital’s adult emergency room treats over 110,000 patients annually. While the Pediatrics emergency room treats 45,000 children and adolescents each year with a no wait policy.","41.873814,-87.67421",1901 West Harrison Street - Suite 5650,Chicago,60612
Mercy Hospital & Medical Center,near-west-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),,"41.8470646,-87.6235186",2525 South Michigan Avenue,Chicago,60616
Norwegian American Hospital,near-west-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Norwegian American Hospital is a 200-bed, acute care facility, offering a variety of health care programs and services including: inpatient and same day surgery, outpatient pharmacy, radiology department, All Kids health care program, cardiology department, corporate health program, intensive care unit, telemetry unit, pediatrics unit, emergency department, physician specialty center, and a comprehensive array of women's health care with an incorporated midwife program.","41.900784,-87.699646",1044 North Francisco Avenue,Chicago,60622
Rush University Medical Center,near-west-side,Hospital,,Other Not For Profit (specify below),"Rush University is home to one of the first medical colleges in the Midwest and one of the nation's top-ranked nursing colleges, as well as graduate programs in allied health, health systems management and biomedical research. The Medical Center also offers many highly selective residency and fellowship programs in medical and surgical specialties and subspecialties. Rush's unique practitioner-teacher model for health sciences education and research gives students the opportunity to learn from world-renowned instructors who practice what they teach.","41.8750991,-87.6680372",1653 West Congress Parkway,Chicago,60612
Schwab Rehabilitation Center,near-west-side,Hospital,Rehabilitation Hospital,Not for Profit Corporation (Not Church-Related),"Schwab Rehabilitation Hospital was the first accredited rehabilitation hospital in the Midwest—and today, we continue to redefine health care delivery for the lives of our patients. Last year, nearly three-quarters of our inpatients re-entered their communities from our newly expanded, comprehensive Chicago rehabilitation hospital, located just three miles from Chicago’s Loop. After returning home, our patients continue to benefit from outpatient care. Working with a wide range of partners, Schwab provides primary, acute, subacute and outpatient care to disabled people who live in the community.","41.8624645,-87.6957337",1401 South California Avenue,Chicago,60608
Presence Saint Mary Of Nazareth Hospital,near-west-side,Hospital,General Hospital,Church-Related,"Presence Saints Mary and Elizabeth Medical Center is an award-winning medical center, which has two campus locations on Chicago's near northwest side. For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doors","41.9041405,-87.6825333",2233 West Divison Street,Chicago,60622
Mount Sinai Hospital Medical Center,near-west-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Mount Sinai Hospital Chicago is a 319-bed teaching hospital that provides medical, surgical, behavioral health, therapeutic and diagnostic services to the greater Chicago area. Proving to be a national model for the delivery of urban health care, Mount Sinai Hospital ranks among the top 10 percent of hospitals nationwide in 75 percent of national hospital quality measures. Part of Sinai Health System Chicago, it features an Emergency Department that is a Level 1 Trauma Center, providing care to nearly 60,000 patients, and a Labor and Delivery unit that has welcomed more than 3,000 newborns—the second highest number in the city. Located in Chicago’s West Side neighborhood, Mount Sinai Hospital is also a major teaching hospital, training over 700 health care professionals through undergraduate, graduate, residency and fellowship programs. With a continued focus on the needs of our community, Mount Sinai Hospital Chicago provides consistently reliable and efficient medical care to individuals and families in the Chicago area.","41.8611382,-87.6928376",2750 W. 15th Street,Chicago,60608
Presence St. Elizabeth's Hospital,near-west-side,Hospital,General Hospital,Church-Related,"Elizabeth Medical Center is an award-winning medical center on Chicago's near northwest side.For more than a century, we have delivered outstanding, compassionate medical care, which are hallmarks of our facility. We have a rich history in the community — providing patients and their families with patient- and family-centered care from the moment they walk through our doorsSaint Elizabeth Campus provides patient care in select specialties, such as outpatient surgery and behavioral health","41.9074975,-87.6858571",1431 North Claremont,Chicago,60622
University of Illinois Medical Center @ Chicago,near-west-side,Hospital,General Hospital,Other Not For Profit (specify below),"University of Illinois Hospital & Health Sciences System is made up of several facilities, all of which give you access to different levels of care. These include a 495-bed hospital, outpatient clinic, immediate care clinic, and 12 Mile Square Health Centers including locations in Back of the Yards, Cicero, Englewood, Near West, and South Shore. As a leader in patient care, research and education, UI Health is committed to making positive and lasting differences in health science and in people's lives.","41.8692277,-87.6704874",1740 West Taylor Avenue,Chicago,60612
Aurora Chicago Lakeshore Hospital,north-center,Hospital,Psychiatric Hospital,Limited Liability Company,"Chicago Lakeshore Hospital provides treatment services to those struggling with alcoholism, chemical dependency and drug use, as well as including their families as an integral part of the multi-disciplinary team. Treatment services include screening, orientation, assessment, detox services, treatment planning, crisis intervention, consultation, inpatient and outpatient services, education, rehab, referral and individual and group counseling. Chicago Lakeshore Hospital specializes in the treatment of dual diagnosis - a combination of alcoholism/drug use/chemical dependency and a behavioral health issue or a mental health disorder, treatment of children, adolescents and adults, as well as comprehensive treatment for the LGBTQ community","41.9703718,-87.6499477",4840 North Marine Drive,Chicago,60640
Kindred Hospital  Chicago North,north-center,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Hospital Chicago - North is a 164-bed transitional care hospital that provides intensive long-term acute care to medically complex patients. It is accredited by The Joint Commission and licensed by the State of Illinois. Kindred Hospitals serve as the bridge for patients who are medically complex and require acute care, but are unable to recover completely in the traditional, short-term acute care hospital setting. It is our goal to help patients grow stronger and more stable before they are discharged home or to a lower level of care. We use a multidisciplinary team approach to care that helps our patients return to the highest quality of life possible.","41.961555,-87.693245",2544 West Montrose Avenue,Chicago,60618
Methodist Hospital of Chicago,north-center,Hospital,General Hospital,Church-Related,"Welcome to Methodist Hospital of Chicago, a medical-surgical facility offering on-site physician specialists in cardiology, neurology, geriatric oncology, ophthalmology, general surgery,orthopedics, behavioral medicine, dentistry and podiatry. Also offering internal medicine and family practice, the hospital has 168 licensed beds located amid the Andersonville/Ravenswood neighborhoods of Chicago.","41.9727885,-87.6710533",5025 North Paulina Street,Chicago,60640
